step,phase,cube_x,cube_y,cube_z,tcp_x,tcp_y,tcp_z,wrist_x,wrist_y,wrist_z,xy_dist,tcp_minus_cube_z,hover_z,grasp_z,hover_z_error,grasp_z_error,finger_pos,is_closed,close_too_high,ori_error_rad,tcp_qw,tcp_qx,tcp_qy,tcp_qz,a0,a1,a2,a3,a4,a5,a6
11,SEARCHING,0.5225897431373596,-0.2449548989534378,0.02099992148578167,0.6676415205001831,-0.14112791419029236,0.2431454062461853,0.62736976146698,-0.12383120507001877,0.4177277386188507,0.1783817857503891,0.22214548289775848,0.20099992148578166,0.05599992148578167,0.04214548476040364,0.18714548476040363,-1.790647741195528e-09,0,0,1.6167300939559937,0.04725074768066406,-0.6906816959381104,0.7126778364181519,-0.11320912837982178,-2.7812600135803223,-2.505202531814575,-6.280787944793701,-0.32269859313964844,0.6121743321418762,0.9831810593605042,1.7880613803863525
12,SEARCHING,0.5225897431373596,-0.2449548840522766,0.020999891683459282,0.6452038884162903,-0.1575387865304947,0.21124446392059326,0.605652391910553,-0.139950230717659,0.38596224784851074,0.150584876537323,0.19024457037448883,0.20099989168345928,0.055999891683459285,0.010244572237133986,0.15524457223713398,-1.6507721856129365e-09,0,0,1.6264656782150269,0.04580092430114746,-0.6871533393859863,0.716343104839325,-0.11213815212249756,-2.401744842529297,-2.391465425491333,-5.220226764678955,-0.2785676121711731,0.47943171858787537,0.8216715455055237,1.4191062450408936
13,SEARCHING,0.5225897431373596,-0.2449548989534378,0.020999925211071968,0.6181597113609314,-0.16979371011257172,0.17348313331604004,0.5827650427818298,-0.15399421751499176,0.34926021099090576,0.12158463895320892,0.15248320996761322,0.20099992521107196,0.05599992521107197,-0.027516791895031922,0.11748320810496807,-1.2117669090372374e-09,0,0,1.6357508897781372,0.041424691677093506,-0.6837730407714844,0.7216121554374695,-0.10007119178771973,-1.909387469291687,-2.3604519367218018,-3.682253360748291,-0.246056467294693,0.28581565618515015,0.6194441914558411,0.9480937719345093
14,SEARCHING,0.5225897431373596,-0.2449548989534378,0.020999914035201073,0.587058424949646,-0.1776827722787857,0.13527831435203552,0.5598048567771912,-0.16658645868301392,0.3128567039966583,0.09317591041326523,0.1142783984541893,0.20099991403520107,0.055999914035201076,-0.06572159968316554,0.07927840031683445,0.007131125777959824,0,0,1.645132303237915,0.03439587354660034,-0.6803427338600159,0.7282904982566833,-0.07445389032363892,-1.1893396377563477,-2.587801694869995,-1.240429162979126,-0.2868330776691437,-0.028045689687132835,0.3153582215309143,0.3138316869735718
15,SEARCHING,0.5225897431373596,-0.2449548840522766,0.02099994383752346,0.5561401844024658,-0.1840468794107437,0.1055549681186676,0.5388506054878235,-0.17947599291801453,0.2846643328666687,0.06953716278076172,0.08455502241849899,0.20099994383752345,0.055999943837523464,-0.09544497571885585,0.04955502428114414,0.017585191875696182,0,0,1.6602740287780762,0.02686309814453125,-0.6747746467590332,0.7363458275794983,-0.04186004400253296,-0.5464921593666077,-2.5000665187835693,1.0957471132278442,-0.3652394115924835,-0.2534857392311096,0.008195844478905201,0.29354146122932434
16,DESCENDING_OPEN,0.5225896835327148,-0.2449548840522766,0.020999932661652565,0.5304025411605835,-0.19266584515571594,0.08958446979522705,0.5214168429374695,-0.19401711225509644,0.2693549394607544,0.05286950245499611,0.06858453899621964,0.20099993266165256,0.05599993266165257,-0.11141546286642551,0.03358453713357448,0.020886294543743134,0,0,1.683984398841858,0.021122217178344727,-0.6659780144691467,0.745543897151947,-0.013833403587341309,-0.12843956053256989,-2.0382072925567627,2.187004804611206,-0.4089893698692322,-0.17491371929645538,-0.14322830736637115,0.2655108869075775
17,AT_GRASP_OPEN,0.5225897431373596,-0.2449548989534378,0.02099992148578167,0.5149242877960205,-0.20392709970474243,0.08545592427253723,0.5102450251579285,-0.20826685428619385,0.2653427720069885,0.04173774644732475,0.06445600092411041,0.20099992148578166,0.05599992148578167,-0.11554399721324443,0.02945600278675556,0.040694139897823334,0,0,1.7090787887573242,0.01772165298461914,-0.6565660238265991,0.7540601491928101,0.0005562305450439453,0.07583285868167877,-1.2205750942230225,1.6634149551391602,-0.37908729910850525,0.14170366525650024,-0.0572529174387455,-0.18646477162837982
18,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.020999891683459282,0.5091165900230408,-0.2161543369293213,0.0869503915309906,0.5052176713943481,-0.2207057923078537,0.2668505907058716,0.031796183437108994,0.06595049798488617,0.20099989168345928,0.055999891683459285,-0.11404950015246867,0.030950499847531315,0.023759985342621803,0,0,1.7257401943206787,0.016451716423034668,-0.6502597332000732,0.7595294713973999,0.002560853958129883,-0.027670584619045258,-0.9723477959632874,0.583172619342804,-0.4407983422279358,-0.13590048253536224,-0.46879610419273376,2.241629123687744
19,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.020999906584620476,0.5092448592185974,-0.2261524498462677,0.08925893902778625,0.5049527287483215,-0.22986428439617157,0.26916947960853577,0.02305683121085167,0.06825903058052063,0.20099990658462047,0.05599990658462048,-0.11174096755683421,0.033259032443165776,0.04353181645274162,0,0,1.736962914466858,0.01576364040374756,-0.6459864974021912,0.7631860375404358,0.0001671314239501953,0.18654094636440277,-0.3039633333683014,0.033614382147789,-0.5479501485824585,0.1222282201051712,0.26881101727485657,-1.2284108400344849
20,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.020999955013394356,0.5105529427528381,-0.23382191359996796,0.09110575914382935,0.5057817101478577,-0.23690734803676605,0.27101603150367737,0.016395973041653633,0.07010580599308014,0.20099995501339435,0.05599995501339436,-0.109894195869565,0.03510580413043499,0.024031270295381546,0,0,1.7424166202545166,0.015660643577575684,-0.6439025402069092,0.7649446129798889,-0.001978278160095215,-0.08611288666725159,-0.41857871413230896,0.06382611393928528,-0.628679633140564,-0.2786657512187958,-0.6216441988945007,2.5727152824401855
21,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.020999928936362267,0.5134713649749756,-0.23921677470207214,0.09219226241111755,0.5080057382583618,-0.2412351369857788,0.2720979154109955,0.010773620568215847,0.07119233161211014,0.20099992893636226,0.05599992893636227,-0.1088076665252447,0.036192333474755284,0.04384056478738785,0,0,1.7477428913116455,0.015242159366607666,-0.641862690448761,0.7666486501693726,-0.005448102951049805,0.1751406341791153,0.2744855582714081,-0.30845266580581665,-0.6389973759651184,-0.04494250565767288,0.3450588285923004,-1.237784504890442
22,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.02099991776049137,0.5152221918106079,-0.24209587275981903,0.09244322776794434,0.5096399784088135,-0.24398915469646454,0.27234670519828796,0.007902837358415127,0.07144331187009811,0.20099991776049136,0.055999917760491374,-0.10855668999254703,0.03644331000745296,0.02416304126381874,0,0,1.7480567693710327,0.015268445014953613,-0.6417422890663147,0.7667455077171326,-0.0059201717376708984,-0.03497888892889023,-0.2589871883392334,0.09947794675827026,-0.7403125166893005,-0.441675066947937,-0.6922309398651123,2.5545010566711426
23,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.020999887958168983,0.5178307890892029,-0.24417026340961456,0.09242454171180725,0.5117953419685364,-0.2453012466430664,0.2723197937011719,0.004823201801627874,0.07142465561628342,0.20099988795816898,0.05599988795816899,-0.10857534624636173,0.036424653753638264,0.04399978369474411,0,0,1.7504202127456665,0.014884591102600098,-0.6408355832099915,0.7674885988235474,-0.008334934711456299,0.1536073237657547,0.4348895847797394,-0.323025643825531,-0.6983614563941956,-0.1051519513130188,0.36810314655303955,-1.270150065422058
24,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.02099992148578167,0.5186216831207275,-0.24456919729709625,0.09198644757270813,0.5128166079521179,-0.24599017202854156,0.2718872129917145,0.003986761439591646,0.07098652422428131,0.20099992148578166,0.05599992148578167,-0.10901347391307353,0.03598652608692646,0.02437654323875904,0,0,1.7487940788269043,0.014903783798217773,-0.641459584236145,0.7669771313667297,-0.007318377494812012,-0.0324714258313179,-0.27487000823020935,0.23269101977348328,-0.7703279256820679,-0.5083364844322205,-0.7258947491645813,2.5430984497070312
25,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.020999955013394356,0.5205633640289307,-0.24532566964626312,0.09177142381668091,0.5144113898277283,-0.2461051046848297,0.27166450023651123,0.0020600229036062956,0.0707714706659317,0.20099995501339435,0.05599995501339436,-0.10922853119671344,0.03577146880328655,0.04422232508659363,0,0,1.750309944152832,0.014506697654724121,-0.640877902507782,0.7674493789672852,-0.009293019771575928,0.14708049595355988,0.44677308201789856,-0.2963573932647705,-0.7083074450492859,-0.12555454671382904,0.3847945034503937,-1.2735644578933716
26,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.020999925211071968,0.5205996632575989,-0.2449314445257187,0.09134194254875183,0.5147838592529297,-0.24613989889621735,0.2712438702583313,0.001990217948332429,0.07034201920032501,0.20099992521107196,0.05599992521107197,-0.10965798266232013,0.03534201733767986,0.02465507946908474,0,0,1.7481542825698853,0.014545202255249023,-0.6417049169540405,0.7667739987373352,-0.00779491662979126,-0.07089898735284805,-0.31292518973350525,0.31135421991348267,-0.7774949669837952,-0.5263591408729553,-0.739429771900177,2.5418190956115723
27,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.020999914035201073,0.5221057534217834,-0.2454262673854828,0.09129121899604797,0.5159250497817993,-0.24596183001995087,0.2711842656135559,0.0006755991489626467,0.07029130309820175,0.20099991403520107,0.055999914035201076,-0.10970869503915309,0.0352913049608469,0.04450033977627754,0,0,1.7497258186340332,0.014130771160125732,-0.6411020755767822,0.7672620415687561,-0.009868323802947998,0.1473255753517151,0.432559996843338,-0.2967360317707062,-0.6942183971405029,-0.12455148994922638,0.403036504983902,-1.2743438482284546
28,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.020999928936362267,0.5217293500900269,-0.2448880970478058,0.09101852774620056,0.5158834457397461,-0.24586737155914307,0.27092087268829346,0.0008629813091829419,0.07001859694719315,0.20099992893636226,0.05599992893636227,-0.1099814011901617,0.03501859880983829,0.024975622072815895,0,0,1.7475309371948242,0.0141981840133667,-0.6419439315795898,0.7665746808052063,-0.00834125280380249,-0.11308051645755768,-0.32949844002723694,0.3416026830673218,-0.7765592932701111,-0.528164803981781,-0.7443351745605469,2.5482916831970215
29,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.020999958738684654,0.5229947566986084,-0.24541157484054565,0.09112679958343506,0.5167417526245117,-0.24566230177879333,0.27101796865463257,0.0006104117492213845,0.07012683898210526,0.20099995873868465,0.05599995873868466,-0.10987315915524959,0.0351268408447504,0.04481786862015724,0,0,1.7493174076080322,0.013775348663330078,-0.6412587761878967,0.7671276330947876,-0.010607242584228516,0.14844848215579987,0.4195954501628876,-0.309355765581131,-0.6794539093971252,-0.12060575187206268,0.4154992699623108,-1.2711783647537231
30,DESCENDING_OPEN,0.5225897431373596,-0.2449548840522766,0.02099994756281376,0.5224079489707947,-0.24487745761871338,0.09094852209091187,0.516469419002533,-0.24555924534797668,0.27084922790527344,0.00019759548013098538,0.06994857639074326,0.20099994756281375,0.05599994756281376,-0.11005142547190189,0.0349485745280981,0.025308609008789062,0,0,1.747187614440918,0.013863325119018555,-0.6420755386352539,0.7664614915847778,-0.009142577648162842,-0.1433732509613037,-0.3306463062763214,0.34736040234565735,-0.7736853957176208,-0.5261745452880859,-0.7442635297775269,2.5564122200012207
31,DESCENDING_OPEN,0.5225897431373596,-0.2449548989534378,0.02099992148578167,0.5235278010368347,-0.24543257057666779,0.09112411737442017,0.5171607732772827,-0.24535620212554932,0.2710114121437073,0.001052674138918519,0.07012419402599335,0.20099992148578166,0.05599992148578167,-0.1098758041113615,0.03512419588863849,0.0451485700905323,0,0,1.7491267919540405,0.013434529304504395,-0.6413319110870361,0.7670595049858093,-0.011509060859680176,0.14951230585575104,0.41123008728027344,-0.318636029958725,-0.6699250340461731,-0.11843070387840271,0.4217337369918823,-1.266398549079895
